car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,brand,model,power_to_weight_ratio,wheelbase_squared,carlength_squared,carwidth_squared,carheight_squared,curbweight_squared,enginesize_squared,boreratio_squared,stroke_squared,compressionratio_squared,horsepower_squared,peakrpm_squared,citympg_squared,highwaympg_squared,log_enginesize
1,3,alfa-romero giulia,1,0,1,0,2,0,-1.6907718018201774,-0.42652146835701304,-0.8447823517277104,-2.0204173044647122,-0.014566282137926123,0,2,0.0744489251157203,5,0.5190713849456007,-1.839377336831407,-0.2883489098618655,0.17448277916253407,-0.2629602160773477,-0.6465530277621856,-0.5460587369032711,13495.0,1,79,0.04356357927786499,7849.959999999999,28493.440000000002,4108.8099999999995,2381.4399999999996,6492304,16900,12.0409,7.182400000000001,81.0,12321,25000000,441,729,4.875197323201151
2,3,alfa-romero stelvio,1,0,1,0,2,0,-1.6907718018201774,-0.42652146835701304,-0.8447823517277104,-2.0204173044647122,-0.014566282137926123,0,2,0.0744489251157203,5,0.5190713849456007,-1.839377336831407,-0.2883489098618655,0.17448277916253407,-0.2629602160773477,-0.6465530277621856,-0.5460587369032711,16500.0,1,123,0.04356357927786499,7849.959999999999,28493.440000000002,4108.8099999999995,2381.4399999999996,6492304,16900,12.0409,7.182400000000001,81.0,12321,25000000,441,729,4.875197323201151
3,1,alfa-romero Quadrifoglio,1,0,1,2,2,0,-0.7085958764076113,-0.23151304680543727,-0.19056612143668694,-0.5435274761218468,0.5148819161377617,5,3,0.6040461684467903,5,-2.404880294774036,0.6859461601154123,-0.2883489098618655,1.2645364278639772,-0.2629602160773477,-0.9530116883199847,-0.6916270607851575,16500.0,1,29,0.05455189514700673,8930.25,29309.439999999995,4290.25,2745.7599999999998,7969329,23104,7.182400000000001,12.0409,81.0,23716,25000000,361,676,5.030437921392435
4,2,audi 100 ls,1,0,0,3,1,0,0.17369775150537034,0.2072559016856128,0.1365419937088248,0.23594215550355344,-0.4207974451785447,3,2,-0.43107571624575564,5,-0.5172659192588284,0.4621833186137945,-0.035972825318776304,-0.05366798451916333,0.7878554622044521,-0.18686503692548712,-0.10935376525761202,13950.0,2,1,0.043645699614890884,9960.039999999999,31187.559999999998,4382.4400000000005,2948.49,5461569,11881,10.1761,11.559999999999999,100.0,10404,30250000,576,900,4.700480365792417
5,2,audi 100ls,1,0,0,3,0,0,0.1071095531723165,0.2072559016856128,0.23000145517897197,0.23594215550355344,0.5168071823133096,3,1,0.21888453693328483,5,-0.5172659192588284,0.4621833186137945,-0.5407249944049548,0.2758831185766218,0.7878554622044521,-1.1062410185988842,-1.273900356312703,17450.0,2,2,0.04072237960339943,9880.36,31187.559999999998,4408.960000000001,2948.49,7974976,18496,10.1761,11.559999999999999,64.0,13225,30250000,324,484,4.919980925828125
6,2,audi fox,1,0,1,3,1,0,0.17369775150537034,0.26413335797149096,0.18327172444389506,-0.2563544539440664,-0.0935021953353923,3,1,0.21888453693328483,5,-0.5172659192588284,0.4621833186137945,-0.41453695213341013,0.14913269430901213,0.7878554622044521,-0.9530116883199847,-0.8371953846670438,15250.0,2,74,0.043877143996808934,9960.039999999999,31435.290000000005,4395.69,2819.61,6285049,18496,10.1761,11.559999999999999,72.25,12100,30250000,361,625,4.919980925828125
7,1,audi 100ls,1,0,0,3,1,0,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8102881998591143,0.5553125058242687,3,1,0.21888453693328483,5,-0.5172659192588284,0.4621833186137945,-0.41453695213341013,0.14913269430901213,0.7878554622044521,-0.9530116883199847,-0.8371953846670438,17710.0,2,2,0.03867791842475387,11193.64,37133.28999999999,5097.960000000001,3102.4900000000002,8088336,18496,10.1761,11.559999999999999,72.25,12100,30250000,361,625,4.919980925828125
8,1,audi 5000,1,0,0,4,1,0,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8102881998591143,0.7670917851345438,3,1,0.21888453693328483,5,-0.5172659192588284,0.4621833186137945,-0.41453695213341013,0.14913269430901213,0.7878554622044521,-0.9530116883199847,-0.8371953846670438,18920.0,2,16,0.037237643872714964,11193.64,37133.28999999999,5097.960000000001,3102.4900000000002,8726116,18496,10.1761,11.559999999999999,72.25,12100,30250000,361,625,4.919980925828125
9,1,audi 4000,1,1,0,3,1,0,1.1725207265011992,1.5154373962607788,2.566487991932618,0.8923376347670494,1.021226920306874,3,1,0.09852152708531438,5,-0.7393381987312061,0.4621833186137945,-0.4650121690420278,0.9096352399146702,0.7878554622044521,-1.2594703488777836,-1.5650370040764756,23875.0,2,13,0.04536616979909268,11193.64,37133.28999999999,5097.960000000001,3124.81,9523396,17161,9.796899999999999,11.559999999999999,68.89000000000001,19600,30250000,289,400,4.882801922586371
10,0,audi 5000s (diesel),1,1,1,2,0,0,0.12375660275557937,0.3372615160533307,0.9309474162050657,-0.7076263459377201,0.9576931365137914,3,1,0.09852152708531438,5,-0.7393381987312061,0.4621833186137945,-0.7931010789480439,1.4166369369851088,0.7878554622044521,-1.4126996791566833,-1.273900356312703,17859.167,2,17,0.05240746806419915,9900.25,31755.239999999994,4610.410000000001,2704.0,9320809,17161,9.796899999999999,11.559999999999999,49.0,25600,30250000,256,484,4.882801922586371
