id,url,source,label,url_length
5783,symama.com,Majestic,legitimate,10
8819,socc.edu,Majestic,legitimate,8
469,bceasy.cn,Majestic,legitimate,9
3322,arie.ls,Majestic,legitimate,7
609,livefitstore.in,Majestic,legitimate,15
9694,houpsopsie.com,Cisco-Umbrella,legitimate,14
1819,external-media48.public.wfram-a-2.prod.infra.webex.com,Cisco-Umbrella,legitimate,54
7442,westhillsbuilders.com,Majestic,legitimate,21
1159,url4214.changewholesale.com,Cisco-Umbrella,legitimate,27
8671,succotashrestaurant.com,Majestic,legitimate,23
7119,hacklang.org,Majestic,legitimate,12
6644,bookmarkmargin.com,Majestic,legitimate,18
2040,g3visas.com,Cisco-Umbrella,legitimate,11
3880,log.wt14yf.com,Cisco-Umbrella,legitimate,14
8028,technikum29.de,Majestic,legitimate,14
6032,webcenter.ontempworks.com,Cisco-Umbrella,legitimate,25
5035,123.reminews.com,Cisco-Umbrella,legitimate,16
5513,r5---sn-vgqsrnez.googlevideo.com,Cisco-Umbrella,legitimate,32
5813,tv-tokyo.co.jp,Majestic,legitimate,14
8716,v5p-mweb2-openlms-1-888583895.us-east-1.elb.amazonaws.com,Cisco-Umbrella,legitimate,57
4042,xz058.cn,Majestic,legitimate,8
2452,messapps.com,Majestic,legitimate,12
3408,hpa.org.cn,Majestic,legitimate,10
416,500nations.com,Majestic,legitimate,14
6648,generali-berliner-halbmarathon.de,Majestic,legitimate,33
8799,myidentity.aramark.com,Cisco-Umbrella,legitimate,22
3886,proxify.io,Majestic,legitimate,10
4928,kwm.com.pl,Majestic,legitimate,10
289,zenbusiness-dataplane.rudderstack.com,Cisco-Umbrella,legitimate,37
2097,picx.zhimg.com.volcgslb.com,Cisco-Umbrella,legitimate,27
5200,afterbabel.com,Majestic,legitimate,14
8903,szsuhu.com,Majestic,legitimate,10
768,userintel.prod.sp.aws.clarivate.net,Cisco-Umbrella,legitimate,35
997,stage2md050.stage.paypal.com,Cisco-Umbrella,legitimate,28
189,cna.com.tw,Majestic,legitimate,10
3837,www.redcoolmedia.net,Cisco-Umbrella,legitimate,20
326,bhmdwdt293928.cy.marrcorp.marriott.com,Cisco-Umbrella,legitimate,38
8029,shantong56.cn,Majestic,legitimate,13
9400,alba-dent.com,Majestic,legitimate,13
3757,session.nydailynews.com,Cisco-Umbrella,legitimate,23
2791,motorask.com,Majestic,legitimate,12
990,interstates.crm.dynamics.com,Cisco-Umbrella,legitimate,28
1058,lycee-saintyves.fr,Majestic,legitimate,18
956,wizardxin.cn,Majestic,legitimate,12
4709,tarafbetim.com,Majestic,legitimate,14
8324,brainlanguage-sa.com,Majestic,legitimate,20
5505,dataslice4.uksouth.database.windows.net,Cisco-Umbrella,legitimate,39
7727,mail.ziggo.nl,Cisco-Umbrella,legitimate,13
1545,v6velugu.com,Cisco-Umbrella,legitimate,12
7373,1062327-27.chat.api.drift.com,Cisco-Umbrella,legitimate,29
3067,northgateacademy.com,Majestic,legitimate,20
9419,luciasalvi.ca,Majestic,legitimate,13
8708,ws223.com,Majestic,legitimate,9
3210,ggtu.ru,Majestic,legitimate,7
1393,xavor.com,Majestic,legitimate,9
5322,mandurahmail.com.au,Majestic,legitimate,19
3479,join-the-pipe.org,Majestic,legitimate,17
8098,scontent.fuio35-1.fna.fbcdn.net,Cisco-Umbrella,legitimate,31
8235,www.adidas.fr,Cisco-Umbrella,legitimate,13
6574,aboutforensics.co.uk,Majestic,legitimate,20
6327,pferdekontakt.com,Majestic,legitimate,17
8276,socketlink.prd.aser.simplisafe.com,Cisco-Umbrella,legitimate,34
5441,pegacloud.com,Cisco-Umbrella,legitimate,13
8096,111pq.com,Majestic,legitimate,9
7122,crysys.hu,Majestic,legitimate,9
3231,kafe-biblioteka.ru,Majestic,legitimate,18
4500,registration.gov.ge,Majestic,legitimate,19
